description,specialization,lang
Відеомонтаж рекламного ролику з ціллю реклами на фейсбук,Видеомонтаж,uk
Сайт для деревяних будинків.сторінок не буде дуже багато.скиньте ваші роботи нам.ми подивемось і виберемо.бюджет 300 дол.дизайн потрібно буде писати,Сайт «под ключ»,uk
"приклад на скріні. пишіть на пошту, або вайбер",Полиграфический дизайн,uk
"Ми агенція, нам потрібен дизайнер який швидко та якісно зможе готувати банери для для FB/Insta (до постів і до рекламних кампаній). Роботи багато на постійній основі. Прошу надіслати приклади ваших робіт та ціну за розробку одного банеру. Дякую v.gurkovskiy@upturn.online",Баннеры,uk
"потрібен фізик для студ робіт, в основному задачі, вказуйте 1. в яких областях фізики добре почуваєтеся 2. освіту та досвід 3. поточну зайнятість 4. чи готові допомагати онлайн на екзаменах? чи готові займатися репетиторством? P.s. як субординація та пунктуальність для вас малознайомі слова то не марнуйте нічийого часу",Технические дисциплины,uk
"На віддалену роботу шукаємо Wordpress розробників. Розглядаються як окремі кандидати, так і команди. Прохання надати посилання на портфоліо із зазначенням вартості та терміну проведених робіт.  Можлива співпраця як попроектно, так і на з/п (після випробувального терміну).  Чекаємо ваших пропозицій",Сайт «под ключ»,uk
"На віддалену роботу потрібні верстальники з навичками адаптивної верстки; Розглядаються як окремі кандидати, так і команди. Прохання надати посилання на портфоліо із зазначенням вартості та терміну проведених робіт.  Можлива співпраця як попроектно, так і на з/п (після випробувального терміну).  Чекаємо ваших пропозицій",Верстка,uk
"Для розробки купольного дому, візуалки та технічної частини. Деталі на вайбер 067 59 40 477",Архитектура,uk
"Будиночок сиріт з інвалідністю ""Оселя Віри, Надії, Любові"" - один із перших в Україні будинків підтриманого проживання та перший, який отримав фінансування за моделлю соціального замовлення. Його було відкрито 12 липня 2019 р., цього дня нову комфортну домівку отримали четверо молодих людей з інвалідністю (з числа сиріт), які раніше перебували в інтернатах системи соціального захисту. Детальніше про Оселю тут: https://ubm.org.ua/syrotyntsi/ukrainska-blagodiynicka-mereja/szyttya_zaklady.html  Теперішня площа будинку Оселі - 112 метрів квадратних. У 2021 році планується початок спорудження прибудови до будинку (площею приблизно 70 метрів квадратних), завдяки якій в будиночку зможе проживати ще 4-о людей (тобто всього 8). Базова конфігурація прибудови визначена ескізом намірів реконструкції, який зареєстрований в органі архітектури, отримано будівельний паспорт. Теперішня частина будинку вже має наступні комунікації: 1) приєднання до електромережі потужністю 20 кВт; 2) систему автономної каналізації ZS8 ТМ ""Зелена Скеля"" (розрахована на 8 осіб); 3) водопостачання (у криниці встановлено глибинний насос ТМ ""Водолій"").  Що нам потрібно? Розробити робочі креслення прибудови, за якими можна буде здійснювати пошук потрібних матеріалів (маючи точний список необхідного) та залучати підрядників. Будівництво планується здійснювати за сучасною технологією, яка дозволяє досягнути оптимального поєднання ""ціна/якість"" (наприклад, готові розглядати варіанти використання газоблоку). За можливості потрібно використати результати початкових робіт, які вже були виконані для спорудження прибудови, зокрема було пробурено отвори для стовпчасто-стрічкового фундаменту.",Архитектура,uk
Потрібно робити періодично макети різної складності. В додатку перше завдання ( треба намалювати такі 4 сторінки і 3 внутрішні сторінки)  свою ціну присилайте на вайбер 050 434 75 76,Полиграфический дизайн,uk
"Існує сайт на Tilda, його починали розробляти, деякі сторінки та елементи вже створено. Необхідно доробити, налаштувати, внести інформацію. Об'єми невідомі, тому ціна договірна.  https://angioneuro.org/",Доработка сайтов,uk
"Вітаю, дорогий спеціаліст.   Ми вас шукаємо, якщо ви професійний дизайнер анімацій з хорошим досвідом для серйозного проекту з Бельгії.    Потрібно реалізувати круту анімацію в XD або Aftereffects, є готові фрейми та референс.    Ми з нетерпінням чекаємо твого відклику, так як проект відносно терміновий.    Дякую!",Анимация,uk
"Створити сайт для інтернет магазину, з пк та оптимізацією під мобільні пристрої, пошук, доставка, 15000- 20000 позицій, кабінет",Интернет-магазины,uk
"Задача 1.4: Створити клас типу – паралелограм ( поля : основа, висота, бічна сторона, колір). У класі визначити: 1. конструктори ( не менше двох); 2. функції-члени обчислення площі, периметру; 3. функції-члени встановлення основи, висоти, бічної сторони, кольору, функції встановлення полів класу повинні перевіряти коректність параметрів, що задаються; 4. функції-члени що повертають значення полів; 5. функцію друку. Написати програму тестування всіх можливостей цього класу. Задача 2.9: Створити тип даних - клас вектор, який має вказівник на unsigned int, число елементів і змінну стану. У класі визначити: 1. конструктор без параметрів( виділяє місце для одного елемента та інінціалізує його в нуль); 2. конструктор з одним параметром - розмір вектора( виділяє місце та інінціалізує масив значенням нуль); 3. конструктор із двома параметрами - розмір вектора та значення ініціалізації(виділяє місце (значення перший аргумент) та інінціалізує значенням другого аргументу); 4. конструктор копій та операцію присвоєння; // !!! 5. деструктор звільняє пам'ять; 6. визначити функцію, яка присвоює елементу масиву деяке значення (параметр за замовчуванням); 7. функцію яка одержує деякий елемент масиву; 8. визначити функції друку, додавання, віднімання, які здійснюють ці арифметичні операції з даними цього класу, множення на ціле типу unsigned short; 9. визначити функції порівняння: більше, менше, нерівно або рівно, які повертають true або false. У змінну стани встановлювати код помилки, коли не вистачає пам'яті, виходить за межі масиву, ініціалізація від’ємним числом. Передбачити можливість підрахунку числа об'єктів даного типу. Написати програму тестування всіх можливостей цього класу. Задача 3.1: Створити клас матриця. Даний клас містить вказівник на int, розміри рядків і стовпців та стан помилки. У класі визначити: 1. конструктор без параметрів( виділяє місце для матриці 3 на 3 елемента та інінціалізує його в нуль); 2. конструктор з одним параметром – розмір n матриці (виділяє місце n на n та інінціалізує матрицю значенням нуль); 3. конструктор із трьома розміри матриці (n , m) та значення ініціалізації value (виділяє місце перші аргументи та інінціалізує значенням третього аргументу - value); 4. конструктор копій та операцію присвоєння; // !!! 5. деструктор звільняє пам'ять. 6. визначити функцію, яка присвоює елементу масиву деяке значення (параметр за замовчуванням); 7. функцію яка одержує деякий елемент матриці за індексами i та j; 8. визначити функції друку, додавання, множення, віднімання, які здійснюють ці арифметичні операції з даними цього класу; 9. визначити функції порівняння: більше, менше або рівно, які повертають true або false. У змінну стани встановлювати код помилки, коли не вистачає пам'яті, виходить за межі матриці. Передбачити можливість підрахунку числа об'єктів даного типу. Написати програму тестування всіх можливостей цього класу.  Срок выполнения не более 48 часов. Результатом должен быть zip архив с исхо",Прикладное программирование,uk
"Інженерна та комп'ютерна графіка призначена для розв'язання різноманітних інженерно-геометричних задач: моделювання форм, вивчення правил технічного документування, набуття вмінь розв'язувати інженерні задачі графічними засобами, розвитку навичок виконання й читання креслеників. Телеграмм @saints",Прикладное программирование,uk
"Доброго вечора, є сайт товарів (щойно створений), потрібно отрмувати клієнтів, мінім 3-4 в день готовий запропонувати % від продаж",Продвижение в социальных сетях (SMM),uk
За усіма деталями писати вайбер - 0662846259,Логотипы,uk
"Намалювати в клієнтській області вікна програми стовпчасті та лінійчасті діаграми, що ілюструють кількість захищених лабораторних робіт всіма студентами групи. Вісь Х відповідає за номер лабораторної роботи, вісь Y відповідає за кількість студентів, які захистили дану лабораторну роботу. Розлініювати площину виведення діаграм. Якщо кількість студентів, що захистили у даний момент роботу, перевищує дві третини групи, то діаграма малюється зеленим кольором. Якщо одну третину – жовтим, менше третини – червоним. Реалізувати механізм введення кількості захищених лабораторних робіт через діалогове вікно. При натисканні на кожен з графіків виводиться список студентів: студенти, які захистили лабораторну роботу – виділені зеленим кольором; ті, хто не захистив – червоним.",Системное программирование,uk
"Потрібно намалювати логотип, який буде розміщений на сайті, виглядатиме просто, але намальований вами власноруч. Вимоги достатньо жосткі, символ сайту і шрифт назви сайту вже визначені. Вам лише потрібно намалювати наш ""символ"" сайту так, щоб від підходив до імені сайту з вже заданим шрифтом. Деталі при прийнятті замовлення.  Надаю перевагу тим, в кого є акаунт на dribbble, але це не обов'язково:P  P.S. - Можлива подальша співпраця після виконання замовлення",Логотипы,uk
"Добрый день. Ищу качественного исполнителя. Нужно написать программу по такому заданию: Автоматизація визначення класу мережі (та, відповідно, макс. кількості ПК в такій мережі) за її ІР-адресою (програма переведення чисел з десяткової системи числення у двійкову) з демонстрацією роботи та оформленням звіту (постановка задачі, програмний код, скріншоти). Писать в Телеграмм - @mallerann",Прикладное программирование,uk
Создавать сметы АВК -5  сертифікований інженер-проектувальник,Архитектура,uk
"Зробити можливість share Google earth pro файли з доступом по силці для редагування та перегляду.  В google earth web можна ділитися з іншими, а в професійній версії можна лише скачати файл і скинути комусь. Мені потрібно щоб можна було дати доступ для перегляду і не скидувати оригінальний файл.  Пишіть свої пропозиції буду радий поспілкуватися  ПРО ЦІНУ ДОМОВИМОСЯ",Веб-программирование,uk
"Розробити методичку для вчителя фізики на тему ""Дослідницька діяльність на уроках фізики як засіб реалізіції наскрізних ліній ключових компетентностей - що скажете на цю тему!?"". Методичка має містити 40 сторінок. Детальніше - особисте спілкування.",Копирайтинг,uk
"Розробити методичку для вчителя географії на тему ""Впровадження Stem-освіти на уроках географії"". Методичка має містити 40 сторінок. Детальніше - особисте спілкування.",Копирайтинг,uk
Маю роботу. Потрібно розробити методичку з інформатики на готову тему. Має вмістити 40-50 сторінок. Всі умови обговоримо в особистих повідомленнях.,Рефераты / Курсовые / Дипломы,uk
"Добрий день. Потрібно насроїти правильні відповіді сервера на сайті wordpress   1. Доступність сторінки при додаванні до урл любих символів. https://sait.ru/category1/category2/page1 Наприклад при додаванні лишніх символів (https://sait.ru/category1/category2/page1/hkjhk ) видає 200 код сторінки і повертає на https://sait.ru/category1/category2/page1, а потрібно зробити щоб видавало 404.   2. Доступність сторінки при додаванні до урл неіснуючих категорій https://sait.ru/category1/category2/ Наприклад при додаванні неіснуючої категорії (https://sait.ru/category1/neisncategory/category2/ ) видає 200 код сторінки і повертає на https://sait.ru/category1/category2/ а потрібно зробити щоб видавало 404.   3. Зміна порядку вложеності  https://sait.ru/category1/page1 Наприклад при зміні порядку вложеності https://sait.ru/page1/category1 видає 301 код і перенаправляє на https://sait.ru/category1 а потрібно щоб віддавався 404 код сторінки.  4. Доступніст сторінки при видаленні категорії https://sait.ru/category1/post1 Наприклад при видаленні категорії https://sait.ru/post1 сторінка віддає 200 код, а потрібно щоб віддавала 404  5. Доступність сторінки при додаванні розширень https://sait.ru/category1/post1 Наприклад при додаванні в кінці запису home (https://sait.ru/category1/post1/home ) робить 301 редірект на гловну сторінку https://sait.ru, а потрібно зробити 301 редірект на сторінку запису  https://sait.ru/category1/post1  Можливий торг!",Веб-программирование,uk
Потрібен спеціаліст який зможе доробити магазин на платформі opencart а саме переробити добавлення товару і загрузки фото,Интернет-магазины,uk
"Написати курсову роботу з теми ""Використання методів глибинного навчання у прогнозуванні часових рядів"" об'єм - 31-35 сторінок . (Машинне навчання ). Выполнить до 26.01.2020",Прикладное программирование,uk
"Є перелік послуг і кожну послугу треба легко і грамотно описати для олх. Сфера маркетинг, реклама, смм. Мова: укр. Пропозиції пишіть на вайбер з поміткою ОЛХ. 050 434 75 76",Копирайтинг,uk
Шукаю смм спеца по просуванню особистості на постійних засадах. Пропозиції і ціни скидайте на вайбер/телеграм 050 434 75 76. Тільки україномовні пропозиції.,Продвижение в социальных сетях (SMM),uk
"Потрібно налаштувати наступний алгоритм: збирання всіх контактів з пропущених дзвінків і налаштувати через якийсь сервіс (не знаю який, але він має бути), щоб ці номери в режимі реального часу завантажувались в фейсбук і на них запускати рекламу.",Сбор и обработка информации,uk
"Розшукується спеціаліст з ландшафтного проектування на дистанційну постійну роботу.  Обов'язкові вимоги:  досвід роботи в програмах sketchup, lumion досвід в проектуванні та візуалізації прибудинкових територій креативність та дотримання термінів",Ландшафтный дизайн/Генплан,uk
Є сайт https://shop.gardener.in.ua/ зроблений на DIVI (WP) Хочу переробити його на зручний і такий що зможу сам додавати товари+ був доступ для встановлення аналітики і кодів відстеження. Потрібно налаштувати зручний інтерфейс для покупця і можливісь покупки в 1 клік. Пишіть вартість і CMS на якій може бути зроблений сайт. Найважливіше щоби сайт був якісний і виконував всі описані функції Приклад дизайну https://horoshop.ua/design/79/#desktop Приклад функціоналу і дизайну https://galleryflowers.com.ua/ Надсилайте приклади МАГАЗИНІВ які зробили ви або можете зробити,Интернет-магазины,uk
необхідно розробити генплан для проекту зеленого туризму,Ландшафтный дизайн/Генплан,uk
"Сайт. Можливість створювати кабінет користувача (для клієнтів сайту), завантажувати документи, фото. Більше після портфоліо на e-mail.  dr070981sport@gmail.com Виконавець обов'язково з Києва, щоб була можливість зустрітись.",Сайт «под ключ»,uk
"Компанія в сфері медицини шукає профессійного копірайтера.   Ми розглядаємо кандидатів тільки за наявності CV та багатого літературного багажу.   Наш ідеальний кандидат вільно володіе украінською, легко пише тематичні статті та розуміе що таке call-to-action ✍️",Копирайтинг,uk
"Порахувати вартість і платформи рекламної кампанії в інтернеті, ціллю яаої є замовлення Тз кину після погодження кандидата",Интернет-маркетинг,uk
"Доброго дня, Потрібен переклад сайту шкіряних виробів з англійської на німецьку мову. Робота з файлом еxcel. Близько 40 000 символів. Термін до 10 днів. Згодом потрібно буде ще кілька перекладів в подібних обсягах.",Перевод текстов общей тематики,uk
"Необхідно написати короткий опис(відгук) про компанію Вартість одного розгорнутого відгуку - 20 грн. Вимоги: 1) Відгук повинен бути зроблений не з нового акаунту gmail. Акаунт ""Експерт"" - в ідеалі 2) Вік – від 30 років(бажано)  Деталі ТЗ надішлю",Копирайтинг,uk
"Потрібно створити сайт для інтернет- магазину, з оптимізованою версією для мобільних пристроїв, з пошуком по групах товару, можливістю оплати на сайті. Ассортимент товару до 10000 найменувань.",Интернет-магазины,uk
"Якщо ви читаєте цю вакансію ви маєте свої сайти  і заробляєте на рекламу від Гугл. Я працюю над збільшенням ефективності від реклами. Я перевірив свою теорію на своєму сайті. Зараз мені потрібно перевірити теорію на більшій кількістю сайтів. Мені не потрібні конфіденційні дані та доступ до вашого сайту. Мені потрібно статистичні дані. На скільки збільшився трафік, на скільки збільшилась сума за один клік .",Сайт «под ключ»,uk
"Доброго дня!  Компанія Moneyveo — лідер ринку онлайн-кредитування в Україні в пошуках підрядника для запуску і масштабування реклами онлайн кредитів в тизерних мережах.  На Вас чекають: - великі рекламні бюджети;  - оплата фіксований % від вартості конверсії; - працюємо за договором з прозорими і вигідними умовами.   Обов'язково повинна бути наявність успішних кейсів по веденню реклами в тизерних мережах!  Кому цікава довгострокова робота зі стабільною компанією, лідером ринку онлайн кредитування, тоді залишайте заявку і контакти. Ми з вами зв'яжемося і обговоримо умови!",Интернет-маркетинг,uk
Розробити фірмовий логотип компанії (2 шт),Логотипы,uk
"Підприємство в Україні, що спеціалізується на виробництві ігрових комп’ютерів.   розробити креативні ідеї, формати і рубрики для блоку з 15 виходів; територіально фото-відео зйомка повинна бути в м. Полтава.   написати сценарії для відеооглядів на ігрові комп'ютери; бути в кадрі - ведучім; Приклад: https://www.youtube.com/watch?v=AhDc6pezgbI&feature=emb_logo https://www.youtube.com/watch?v=IVT4W2jAMlk",Видеопрезентации,uk
"Потрібно грамотно та професійно писати статті на економічну тематику (в основному маркетинг, інвестиції, соціальне підприємництво і т. д.). В залежності від потреби статті потрібно буде писати як для постів у соціальних мережах, так і для публікації у профільних виданнях. Вкажіть вартість Вашої роботи за професійну статтю у грн за зпб.",Статьи,uk
"Потрібно вивести сайт на перші позиції гугла по запросам: послуги архітектора, архітектор s  т.п. на Західній Україні. Мій сайт: http://arkhitektor.lviv.ua/ Від вас прохання чітко написати наступне: 1. Терміни 2. Вартість ( договірна) 3. Чи буде гарантія вашої роботи?",Поисковое продвижение (SEO),uk
"Інтернет магазин на базі WP. Проблема в тому, що аналітика не правильна визначає ціну товару. До прикладу 100.00 грн в аналітиці прописано як 1000 грн. І так далі.   Також кількість конвервій в аналітиці та гугл АДС не збігається. Потрібно пофіксити.   І як бонус, тег ретаргету не збирає аудиторію. Що є проблемою.  Атрибуцію змінював. Але це нічого не покращило.",Доработка сайтов,uk
"ЗАВДАННЯ Задача 1. Робота з декількома джерелами даних Розробити програму, яка використовуючи потоки C++11 буде паралельно зчитувати дані із заданого переліку джерел даних та обчислювати їх кількісні характеристики. Для цього необхідно заздалегідь підготувати файли з текстовою та чисельною інформацію. Потоки, що оброблюють текстові файли повинні обчислити статистику цих файлів (кількість символів, слів, знаків пунктуації, абзаців тощо). Потоки, що оброблюють числову інформацію відповідні статистичні дані для числових рядів (середнє, максимальне та мінімальне значення, кількість додатних і від'ємних чисел тощо). Кожен потік після завершення роботи повинен опублікувати на екрані повідомлення з обчисленною інформацією. Задача 2. Робота зі спільною областю пам'яті Розробити програму, яка використовуючи два паралельні потоки зчитає збережені у файли дві матриці. Після завантаження матриць у пам'ять комп'ютера необхідно знайти їх матричний добуток з використанням заданої користувачем кількості потоків.  Срок выполнения не более 48 часов Результатом должен быть zip архив с исходными кодами, скомпилированным консольным приложением и необходимыми текстовыми файлами. Код должен быть максимально простой с комментариями.",Прикладное программирование,uk
"Потрібно зробити телеграм бот, який буде автоматично стягувати оплату щомісяця і видаляти користувачів з чату, які не оплатили.",Интерактивные приложения,uk
"Шукаю асистента який буде допомагати оформляти замовлення в Amazon, а також займатиметься запуском та аналітикою товарів. Робота не складна, але потребує уважності. Є можливість залучатися до інших проєктів у компанії. Якщо цікаво - пишіть свій телеграм.",Интернет-маркетинг,uk
"Шукаємо дизайнера котеджу, орієнтовна площа 180м2",Интерьеры,uk
На постійній основі потрібне написання SEO текстів на будівельну тематику для сайту brunner.ua (українська мова)  Перше завдання зробити опис роботи компанії LHM https://lhmgruppen.no/stavlafthytte-lhm4/  (норвезька компанія займається будівництвом котеджів преміум класу)  в статті зробити акцент на використання камінів brunner,Статьи,uk
Требуется сделать ДКР - Моделі організації (менеджмент) Согласно требований к оформлению в вложении.,Репетиторы / Преподаватели,uk
"Потрібно написати тексти 2000- 3000 символів (40-50 шт для начала) для картки товарів в інтернет магазин з усіма правилами СЕО опримізації, Унікальність не менше 92 %. Тематика Засоби захисту рослин посівний матеріал. Оплата на карту приват банк.... Перед співпрацею тестова робота - за тестову роботу кошти платитися не будуть.   Не цікавлять автори які планують писати 50 текстів - 3 місяці. Не цікавлять автори з якими домовляєшся а потім пропадають на місяць після чого кажуть що готові працювати далі.  Якщо людина не готова писати тест можете пропозиції не надавати не тратити час. Прохання авторів які планують на тяп ляп зробити роботу не напрягатися і краще поморочити голову комусь другому.   Кошти будуть платитися тільки за якість.   Оплата по домовленості.",Статьи,uk
": Завдання потрібно виконати з використанням багатопотокового програмування (на мові Java). Написати дві версії класів програми. У першій реалізувати синхронізацію потоків за допомогою семафорів, у другій — моніторів. Написати програму, яка моделює паралельне функціонування об’єктів предметної області. Завдання: Ліфт, у який може вміститися m пасажирів, стоїть на 1-му поверсі. Пасажири викликають ліфт та входять (якщо є вільні місця) і виходять з нього на потрібному їм поверсі. Реалізувати класи «ліфт» та «пасажир» і змоделювати процес руху та посадки/висадки пасажирів.",Системное программирование,uk
Сайт туристичної компанії Бриф за адресою: https://docs.google.com/document/d/1YbWdcz9iOm0T0rJU86rSBZqPR_ZJSqdece9X1gI8nEk/edit,Дизайн сайта,uk
Шукаю таргетолога на довготривалу співпрацю 1.Проект пов'язаний з послугами по будівництву (пріоритет) 2.Проект пов'язаний з інтернет магазином,Продвижение в социальных сетях (SMM),uk
Написання статей на медичну тему,Статьи,uk
Потрібно перекласти 3 документа з української мови на польську,Перевод текстов общей тематики,uk
Сайт dubnevych.pro Потрібно: 1) Збільшити швидкість загрузки по google page speed хоча б до 80% на пк і смартфонах 2) пофіксити форми (не приходять поля із номером телефону і додати якусь айдішку до кожної форми щоб менеджер розумів (наприклад форма: створення сайтів-запит на бриф) 3) змінити номер телефону в шапці сайту Пишіть бажаний бюджет і строки виконання. Дякую,Доработка сайтов,uk
вивести гугл мій бізнес в топ видачі по ключових процедурах стоматології,Поисковое продвижение (SEO),uk
"Скопіювати материнський сайт, створити власний під ключ. Спілкування в телеграм 0973605425",Интернет-магазины,uk
"Робота для тих хто хоче приєднається до команди зі створення корпоративних сайтів для підприємств України.  Знання Figma від 1 року. Знання CMS Wordpress від 3 років Знання Elementor builder pro від 5 років  Буде плюсом здатність швидко навчатися, знання англійської мови на рівні мінімум зі словником. Робота за годинниковою ставкою. Випробувальний термін - 1 проект.",Верстка,uk
"Потрібно зробити аналог функціоналу, який представлений на сайті envybox . io  Можна почати з простіших речей і переходити до складніших.  Проект довгостроковий, плануємо розвивати багато різних інструментів для сайту.  Ціна за домовленістю",Веб-программирование,uk
Детальна інформація разом з описом вакансії за номером +48507146156,Рекрутинг,uk
"Виконати одну із робіт з медичної інформатики в певний час (вівторок, вранці),  а саме  розрахунок основних статистичних параметрів - середнє арифметичне, похибка, дисперсія, логічні операції, кореляційний і регресійний аналіз, порівняння величин, достовірність різниці між змінними, закони розподілу дискретних та неперервних величин,  робота з базою даних в ексель (сортування та фільтрування списків)...",Технические дисциплины,uk
"Потрібно а консультація, в перспективі розробка сайту для МФО (онлайн кредитування). Особистий кабінет, ідентифікація і т.д.",Доработка сайтов,uk
A -5 B -9 C - 10 нужно сегодня до 15:00,Технические дисциплины,uk
"Шукаю людину на постійну співпрацю цікавить послуга монтажу весільного відео, слід змонтувати один ролик та відео на 1 годину(там просто порізати і склеїти)  Мінімум 1920х1080 mp4 з вищим бітрейдом. Додаткові моменти обговорюємо в процесі роботи.",Видеомонтаж,uk
"Створення додатків для смартфонів (Android, IOS) Програміст з знанням більшості мов програмування, архітектор,  середній і вищий рівень   Галузь компанії: IT - розробка ПО ІТ; Створення додатків для смарфонів (Android, IOS) Володіння мовами: Англійська (вище середнього) Ціль: Розробка  ПО на різних мовах програмування. Створення додатків для смартфонів (Android, IOS) Можемо комерціалізувати ваші зроблені додатки. Вид зайнятості: повна зайнятість, або частково (якщо ви зараз маєте хорошу роботу і боїтеся все кинути).  Оплата: від результатів : після запуску продукту ви отримуватимете ЗП + бонуси і нові можливості для розвитку продукту і його просування  БОНУС: 20% від комерційного успіху  На фонд ЗП який вони отримуватимуть протягом першого року від запуску проекту! І ти перший рік отримуватимеш ЗП+БОНУС якщо перейдеш до нас працювати. А якщо не перейдеш, а  залишишся там де зараз працюєш, то все одно будеш отримувати перший рік Бонус. Оплати кожен місяць. І після комерціалізації ви будете оформленні в компанію на самих кращих умовах роботи. Чому це цікаво вам? 1) ви можете створити продукт який даватиме вам постійні доходи 2) наш продукт орієнтований на глобальний ринок 3) ви зможете отримати кар’єрний ріст і ріст ЗП 4) після запуску на розробників які робили безкоштовно чекає бонус 20% від комерційного успіху На фонд ЗП який вони отримуватимуть протягом першого року від запуску проекту! І  чим краще наша команда зробить і розкрутить продукт, тим краще більше кожен член зможе заробляти після запуску. Навіть якщо він дальше не буде працювати над розвитком продукту. Формула така: 20% на команду ділимо на кількість програмістів, керівник (головний програміст)  ЯКЩО ВАМ ЦІКАВІ ТАКІ УМОВИ ПРИСИЛАЙТЕ РЕЗЮМЕ?",Google Android,uk
